second,BVP
10510,-51.31
10522,-52.88
10534,-52.51
10546,-49.67
10558,-44.21
10570,-36.62
10582,-28.06
10594,-20.06
10605,-14.08
10616,-10.94
10628,-10.49
10640,-11.59
10652,-12.45
10664,-11.13
10676,-6.35
10688,2.01
10700,12.76
10712,23.96
10724,33.6
10736,40.29
10748,43.66
10760,44.52
10772,45.19
10784,48.73
10795,57.91
10806,73.92
10818,95.52
10830,118.87
10842,138.38
10854,148.45
10866,145.53
10878,130.24
10890,106.19
10902,77.86
10914,48.56
10926,19.64
10938,-8.88
10950,-37.16
10962,-64.48
10974,-89.04
10985,-106.99
10996,-115.62
11008,-115.14
11020,-108.59
11032,-99.73
11044,-90.75
11056,-81.67
11068,-71.0
11080,-57.08
11092,-36.46
11104,-7.91
11116,26.03
11128,59.33
11140,85.35
11152,100.07
11164,103.36
11175,98.64
11186,91.78
11198,93.16
11210,111.79
11222,151.31
11234,208.39
11246,274.51
11258,339.45
11270,393.56
11282,429.27
11294,420.32
11306,353.44
11318,237.66
11330,102.88
11342,-18.85
11354,-109.62
11365,-167.13
11376,-197.96
11388,-211.08
11400,-214.3
11412,-209.65
11424,-197.79
11436,-180.72
11448,-162.51
11460,-147.36
11472,-137.16
11484,-131.59
11496,-129.23
11508,-128.77
11520,-126.6
11532,-120.15
11544,-109.84
11555,-97.91
11566,-87.22
11578,-78.8
11590,-71.8
11602,-64.38
11614,-55.3
11626,-43.01
11638,-27.68
11650,-11.48
11662,2.44
11674,11.7
11686,16.22
11698,17.57
11710,17.9
11722,18.62
11734,20.81
11745,24.47
11756,28.6
11768,31.63
11780,31.93
11792,30.07
11804,26.53
11816,21.9
11828,16.64
11840,11.33
11852,6.49
11864,2.48
11876,-0.56
11888,-2.78
11900,-4.45
11912,-6.14
11924,-8.2
11935,-10.66
11946,-13.17
11958,-15.13
11970,-16.01
11982,-15.51
11994,-13.71
12006,-10.95
12018,-7.93
12030,-5.31
12042,-3.7
12054,-3.45
12066,-4.55
12078,-6.52
12090,-8.47
12102,-9.31
12114,-8.0
12125,-3.94
12136,2.91
12148,11.91
12160,21.73
12172,30.64
12184,37.05
12196,40.16
12208,40.42
12220,39.59
12232,40.2
12244,44.72
12256,54.63
12268,69.78
12280,88.28
12292,106.97
12304,122.12
12315,130.48
12326,130.02
12338,120.46
12350,103.13
12362,80.3
12374,54.11
12386,25.68
12398,-4.97
12410,-38.3
12422,-74.24
12434,-111.56
12446,-148.0
12458,-180.84
12470,-207.94
12482,-228.07
12494,-240.89
12505,-246.69
12516,-245.99
12528,-239.68
12540,-228.99
12552,-215.35
12564,-200.03
12576,-183.79
12588,-166.97
