second,BVP
4204,22.78
4216,13.31
4228,-0.49
4240,-17.37
4252,-34.82
4264,-50.09
4276,-61.33
4288,-68.29
4300,-71.97
4312,-73.36
4324,-72.46
4335,-68.11
4346,-58.97
4358,-44.94
4370,-27.82
4382,-10.69
4394,3.64
4406,14.06
4418,21.48
4430,27.95
4442,35.16
4454,43.31
4466,51.15
4478,56.87
4490,59.22
4502,58.22
4514,54.97
4525,51.01
4536,47.55
4548,45.06
4560,43.42
4572,42.14
4584,40.62
4596,38.14
4608,33.78
4620,26.56
4632,15.64
4644,0.87
4656,-16.78
4668,-35.15
4680,-51.34
4692,-62.49
4704,-66.6
4715,-62.99
4726,-52.16
4738,-35.39
4750,-14.19
4762,9.96
4774,35.61
4786,61.11
4798,84.46
4810,103.49
4822,116.19
4834,121.27
4846,118.6
4858,109.36
4870,95.79
4882,80.59
4894,66.09
4905,53.61
4916,43.12
4928,33.47
4940,22.98
4952,10.19
4964,-5.55
4976,-23.92
4988,-43.85
5000,-63.83
5012,-82.32
5024,-97.93
5036,-109.65
5048,-116.98
5060,-120.08
5072,-119.76
5084,-117.08
5095,-112.69
5106,-106.32
5118,-96.79
5130,-82.64
5142,-63.23
5154,-39.58
5166,-14.4
5178,8.79
5190,27.09
5202,39.35
5214,46.41
5226,50.3
5238,52.97
5250,55.21
5262,56.6
5274,56.11
5285,53.14
5296,48.13
5308,42.34
5320,37.16
5332,33.39
5344,30.91
5356,28.79
5368,25.92
5380,21.54
5392,15.52
5404,8.28
5416,0.52
5428,-7.24
5440,-14.71
5452,-21.72
5464,-28.06
5475,-33.4
5486,-37.38
5498,-39.87
5510,-41.0
5522,-41.0
5534,-39.99
5546,-37.76
5558,-33.97
5570,-28.46
5582,-21.65
5594,-14.58
5606,-8.55
5618,-4.54
5630,-2.7
5642,-2.34
5654,-2.33
5665,-1.62
5676,0.29
5688,3.4
5700,7.41
5712,12.02
5724,17.05
5736,22.29
5748,27.42
5760,31.74
5772,34.29
5784,34.12
5796,30.75
5808,24.48
5820,16.56
5832,8.84
5844,3.2
5855,0.93
5866,2.26
5878,6.48
5890,12.2
5902,17.93
5914,22.46
5926,25.12
5938,25.78
5950,24.63
5962,22.09
5974,18.6
5986,14.58
5998,10.42
6010,6.54
6022,3.3
6034,0.99
6045,-0.32
6056,-0.84
6068,-0.98
6080,-1.04
6092,-0.86
6104,0.21
6116,3.05
6128,8.4
6140,16.28
6152,25.93
6164,36.02
6176,45.17
6188,52.3
6200,56.86
6212,58.67
6224,57.73
6235,54.15
6246,48.18
6258,40.32
6270,31.25
6282,21.7
6294,12.23
