second,BVP
4205,-205.53
4217,-198.71
4229,-190.38
4241,-180.81
4253,-169.59
4265,-157.0
4277,-144.11
4289,-131.95
4301,-120.81
4313,-110.21
4325,-99.3
4336,-87.7
4347,-75.76
4359,-64.15
4371,-53.27
4383,-42.74
4395,-31.66
4407,-19.19
4419,-5.2
4431,9.59
4443,23.93
4455,36.64
4467,46.96
4479,54.49
4491,58.86
4503,59.48
4515,55.71
4526,47.31
4537,34.98
4549,20.48
4561,6.22
4573,-5.71
4585,-14.38
4597,-20.34
4609,-25.24
4621,-30.76
4633,-37.63
4645,-45.1
4657,-51.23
4669,-53.83
4681,-51.57
4693,-44.7
4705,-34.84
4716,-24.31
4727,-15.14
4739,-8.49
4751,-4.45
4763,-2.41
4775,-1.48
4787,-0.96
4799,-0.43
4811,0.34
4823,1.49
4835,3.23
4847,5.87
4859,9.79
4871,15.26
4883,22.23
4895,30.21
4906,38.31
4917,45.54
4929,51.07
4941,54.44
4953,55.45
4965,54.12
4977,50.5
4989,44.73
5001,37.06
5013,27.77
5025,17.02
5037,4.74
5049,-9.34
5061,-25.52
5073,-43.85
5085,-63.87
5096,-84.63
5107,-104.7
5119,-122.38
5131,-135.94
5143,-143.85
5155,-145.07
5167,-139.26
5179,-126.93
5191,-109.28
5203,-88.05
5215,-65.22
5227,-42.81
5239,-22.65
5251,-6.13
5263,6.11
5275,14.2
5286,18.91
5297,20.86
5309,19.82
5321,14.41
5333,2.77
5345,-16.28
5357,-42.17
5369,-72.18
5381,-102.15
5393,-127.76
5405,-145.63
5417,-153.93
5429,-152.21
5441,-141.13
5453,-122.13
5465,-97.28
5476,-68.89
5487,-38.79
5499,-7.63
5511,25.38
5523,61.88
5535,103.11
5547,148.73
5559,196.42
5571,242.68
5583,284.38
5595,320.03
5607,349.98
5619,375.78
5631,398.83
5643,419.42
5655,436.37
5666,447.46
5677,450.12
5689,442.12
5701,421.99
5713,389.19
5725,344.22
5737,288.69
5749,225.23
5761,157.1
5773,87.9
5785,20.96
5797,-41.11
5809,-96.6
5821,-144.97
5833,-187.05
5845,-224.86
5856,-260.85
5867,-296.48
5879,-331.0
5891,-361.48
5903,-384.14
5915,-396.4
5927,-398.6
5939,-394.09
5951,-387.82
5963,-383.87
5975,-383.53
5987,-384.77
5999,-383.49
6011,-375.47
6023,-358.08
6035,-331.16
6046,-296.6
6057,-257.36
6069,-216.44
6081,-176.12
6093,-137.69
6105,-101.5
6117,-67.32
6129,-34.73
6141,-3.68
6153,25.8
6165,53.76
6177,80.49
6189,106.34
6201,131.14
6213,153.86
6225,172.97
6236,187.44
6247,197.63
6259,205.72
6271,214.84
6283,227.31
6295,242.93
