second,BVP
8409,-210.1
8421,-204.57
8433,-204.74
8445,-207.22
8457,-207.36
8469,-200.79
8481,-184.78
8493,-158.8
8505,-124.31
8516,-84.0
8527,-40.96
8539,1.88
8551,42.04
8563,77.54
8575,106.99
8587,129.79
8599,146.49
8611,158.86
8623,169.67
8635,181.77
8647,196.95
8659,214.92
8671,233.06
8683,247.22
8695,253.25
8706,248.72
8717,233.81
8729,210.92
8741,183.39
8753,153.94
8765,123.84
8777,93.21
8789,62.13
8801,31.71
8813,4.6
8825,-15.95
8837,-27.53
8849,-29.94
8861,-25.62
8873,-18.98
8885,-14.82
8896,-16.61
8907,-25.45
8919,-39.99
8931,-57.36
8943,-74.47
8955,-89.1
8967,-100.38
8979,-108.54
8991,-114.15
9003,-117.45
9015,-118.05
9027,-115.18
9039,-108.36
9051,-98.04
9063,-85.73
9075,-73.55
9086,-63.37
9097,-56.0
9109,-50.93
9121,-46.84
9133,-42.44
9145,-37.2
9157,-31.49
9169,-26.22
9181,-22.18
9193,-19.48
9205,-17.55
9217,-15.55
9229,-12.9
9241,-9.58
9253,-6.12
9265,-3.27
9276,-1.56
9287,-1.08
9299,-1.45
9311,-1.95
9323,-1.79
9335,-0.25
9347,3.11
9359,8.42
9371,15.36
9383,23.26
9395,31.09
9407,37.73
9419,42.22
9431,43.96
9443,42.9
9455,39.53
9466,34.81
9477,29.93
9489,25.98
9501,23.69
9513,23.15
9525,23.91
9537,25.24
9549,26.54
9561,27.57
9573,28.59
9585,30.13
9597,32.79
9609,36.97
9621,42.85
9633,50.28
9645,58.68
9656,66.97
9667,73.45
9679,76.26
9691,73.96
9703,66.28
9715,54.47
9727,41.0
9739,28.55
9751,18.99
9763,12.7
9775,8.73
9787,5.71
9799,2.74
9811,-0.1
9823,-2.07
9835,-2.55
9846,-1.72
9857,-0.73
9869,-1.13
9881,-3.96
9893,-9.14
9905,-15.61
9917,-22.08
9929,-28.06
9941,-34.54
9953,-43.74
9965,-57.95
9977,-78.11
9989,-103.01
10001,-129.52
10013,-153.88
10025,-173.17
10036,-186.36
10047,-194.27
10059,-198.85
10071,-202.18
10083,-205.7
10095,-210.12
10107,-215.5
10119,-221.49
10131,-227.2
10143,-231.11
10155,-230.96
10167,-224.15
10179,-208.54
10191,-183.34
10203,-149.72
10215,-110.58
10226,-69.48
10237,-29.29
10249,8.93
10261,46.1
10273,84.15
10285,124.39
10297,166.23
10309,206.95
10321,242.9
10333,271.14
10345,290.7
10357,302.57
10369,308.59
10381,310.09
10393,307.17
10405,299.19
10416,285.74
10427,267.52
10439,246.28
10451,224.11
10463,202.66
10475,182.72
10487,164.49
10499,148.03
