second,BVP
1,-236.25
13,-178.13
25,-131.89
37,-95.55
49,-65.01
61,-35.93
73,-5.21
85,27.98
97,61.87
109,92.72
121,116.5
133,131.08
145,138.03
156,142.5
167,151.16
179,169.26
191,198.31
203,235.58
215,275.26
227,310.31
239,333.91
251,340.56
263,327.2
275,294.62
287,248.55
299,199.62
311,161.08
323,144.49
335,155.16
346,189.33
357,234.93
369,275.43
381,295.6
393,286.64
405,248.83
417,190.75
429,125.56
441,66.27
453,21.72
465,-5.35
477,-17.51
489,-20.1
501,-18.36
513,-15.64
525,-13.44
536,-12.75
547,-15.01
559,-22.16
571,-35.66
583,-55.2
595,-78.11
607,-100.03
619,-116.52
631,-124.94
643,-125.42
655,-120.65
667,-114.51
679,-110.51
691,-110.52
703,-114.39
715,-120.46
726,-126.49
737,-130.42
749,-130.91
761,-127.32
773,-119.78
785,-109.0
797,-96.23
809,-83.37
821,-72.99
833,-68.29
845,-72.7
857,-89.08
869,-118.62
881,-159.85
893,-208.09
905,-256.04
916,-295.5
927,-319.63
939,-325.19
951,-313.58
963,-290.23
975,-262.5
987,-236.73
999,-215.98
1011,-199.23
1023,-182.65
1035,-162.25
1047,-136.57
1059,-107.87
1071,-81.07
1083,-60.88
1095,-48.73
1106,-41.64
1117,-33.7
1129,-19.6
1141,2.19
1153,28.5
1165,53.71
1177,73.64
1189,88.71
1201,103.94
1213,125.96
1225,158.67
1237,200.46
1249,244.5
1261,281.9
1273,305.83
1285,314.07
1296,309.29
1307,297.19
1319,283.89
1331,273.88
1343,268.85
1355,267.63
1367,266.71
1379,261.42
1391,247.55
1403,223.18
1415,189.6
1427,150.98
1439,113.08
1451,81.13
1463,58.38
1475,45.75
1486,42.47
1497,46.8
1509,56.26
1521,67.48
1533,76.33
1545,78.69
1557,71.78
1569,55.49
1581,32.3
1593,6.09
1605,-19.65
1617,-43.15
1629,-64.6
1641,-85.24
1653,-106.26
1665,-128.21
1676,-150.63
1687,-171.87
1699,-189.04
1711,-198.18
1723,-195.59
1735,-179.68
1747,-152.69
1759,-120.42
1771,-89.96
1783,-66.35
1795,-50.53
1807,-40.04
1819,-31.59
1831,-23.76
1843,-17.65
1855,-15.21
1866,-16.68
1877,-19.43
1889,-18.94
1901,-11.7
1913,2.8
1925,21.86
1937,41.57
1949,59.46
1961,75.69
1973,92.14
1985,110.34
1997,129.93
2009,148.35
2021,162.26
2033,169.28
2045,169.1
2056,163.33
2067,154.53
2079,144.93
2091,135.49
