second,BVP
0,95.13
12,96.79
24,97.02
36,94.71
48,88.52
60,77.41
72,61.29
84,41.61
96,21.13
108,2.98
120,-10.71
132,-19.51
144,-24.62
155,-27.71
166,-29.62
178,-29.89
190,-27.24
202,-20.84
214,-11.3
226,-0.69
238,8.43
250,14.33
262,16.86
274,17.23
286,16.94
298,16.87
310,16.87
322,16.18
334,14.12
345,10.73
356,6.75
368,3.3
380,1.33
392,1.17
404,2.49
416,4.52
428,6.48
440,7.77
452,8.21
464,7.9
476,7.04
488,5.66
500,3.44
512,-0.29
524,-6.25
535,-14.89
546,-26.04
558,-38.84
570,-51.98
582,-64.03
594,-73.83
606,-80.67
618,-84.3
630,-84.81
642,-82.52
654,-77.89
666,-71.5
678,-64.03
690,-56.18
702,-48.56
714,-41.53
725,-35.14
736,-29.13
748,-23.1
760,-16.73
772,-9.93
784,-2.92
796,3.82
808,9.69
820,14.18
832,16.99
844,18.03
856,17.55
868,15.98
880,13.97
892,12.24
904,11.33
915,11.47
926,12.39
938,13.48
950,13.97
962,13.24
974,11.03
986,7.47
998,3.12
1010,-1.16
1022,-4.34
1034,-5.44
1046,-3.86
1058,0.42
1070,6.75
1082,13.99
1094,20.96
1105,26.82
1116,31.38
1128,34.94
1140,37.96
1152,40.66
1164,42.95
1176,44.58
1188,45.46
1200,45.87
1212,46.34
1224,47.44
1236,49.38
1248,51.98
1260,54.72
1272,57.1
1284,58.82
1295,59.94
1306,60.72
1318,61.45
1330,62.11
1342,62.38
1354,61.62
1366,59.09
1378,54.29
1390,47.05
1402,37.65
1414,26.55
1426,14.02
1438,0.05
1450,-15.59
1462,-32.96
1474,-51.45
1485,-69.68
1496,-85.7
1508,-97.64
1520,-104.33
1532,-105.55
1544,-101.92
1556,-94.49
1568,-84.33
1580,-72.35
1592,-59.48
1604,-46.85
1616,-35.97
1628,-28.38
1640,-25.29
1652,-27.06
1664,-33.0
1675,-41.55
1686,-50.65
1698,-58.47
1710,-63.86
1722,-66.69
1734,-67.69
1746,-68.06
1758,-68.83
1770,-70.53
1782,-73.04
1794,-75.83
1806,-78.47
1818,-80.81
1830,-82.99
1842,-85.08
1854,-86.64
1865,-86.73
1876,-84.13
1888,-78.08
1900,-68.74
1912,-57.39
1924,-45.96
1936,-36.21
1948,-29.11
1960,-24.51
1972,-21.48
1984,-18.83
1996,-15.64
2008,-11.53
2020,-6.6
2032,-1.29
2044,3.89
2055,8.43
2066,11.99
2078,14.49
2090,16.16
