second,BVP
14702,116.69
14714,121.86
14726,127.59
14738,133.66
14750,139.01
14762,142.09
14774,141.35
14785,135.78
14796,125.11
14808,109.7
14820,90.21
14832,67.18
14844,41.64
14856,15.08
14868,-10.24
14880,-31.72
14892,-47.36
14904,-56.68
14916,-61.06
14928,-62.78
14940,-63.97
14952,-64.09
14964,-61.32
14975,-53.31
14986,-38.86
14998,-18.8
15010,4.46
15022,28.27
15034,50.93
15046,71.14
15058,89.72
15070,105.29
15082,114.78
15094,114.22
15106,100.33
15118,72.17
15130,31.63
15142,-17.22
15154,-70.59
15165,-121.91
15176,-167.02
15188,-202.93
15200,-227.96
15212,-242.24
15224,-247.79
15236,-248.39
15248,-248.55
15260,-253.24
15272,-261.29
15284,-270.94
15296,-278.84
15308,-281.67
15320,-277.6
15332,-266.38
15344,-249.66
15355,-219.68
15366,-193.55
15378,-170.27
15390,-149.46
15402,-128.9
15414,-104.95
15426,-73.83
15438,-32.74
15450,16.98
15462,68.72
15474,112.66
15486,144.02
15498,159.47
15510,160.55
15522,152.83
15534,143.56
15545,140.41
15556,147.79
15568,165.29
15580,190.2
15592,221.61
15604,255.24
15616,285.78
15628,308.38
15640,320.08
15652,322.25
15664,317.79
15676,308.24
15688,295.74
15700,283.47
15712,271.13
15724,256.48
15735,236.75
15746,200.48
15758,146.97
15770,93.61
15782,44.76
15794,-0.76
15806,-40.8
15818,-74.0
15830,-99.95
15842,-119.63
15854,-135.21
15866,-147.94
15878,-159.87
15890,-174.53
15902,-192.18
15914,-210.37
15925,-226.97
15936,-241.18
15948,-253.8
15960,-266.44
15972,-278.79
15984,-289.37
15996,-296.94
16008,-298.23
16020,-290.25
16032,-272.65
16044,-247.47
16056,-217.8
16068,-186.24
16080,-153.48
16092,-119.74
16104,-86.44
16115,-54.7
16126,-25.52
16138,0.23
16150,22.62
16162,42.56
16174,61.11
16186,78.72
16198,94.31
16210,105.49
16222,110.81
16234,110.55
16246,106.17
16258,99.4
16270,90.99
16282,80.2
16294,65.6
16305,46.27
16316,22.92
16328,-1.23
16340,-21.49
16352,-33.68
16364,-35.82
16376,-28.86
16388,-16.21
16400,-2.12
16412,9.94
16424,18.33
16436,23.25
16448,25.81
16460,26.69
16472,25.26
16484,19.84
16495,8.77
16506,-7.98
16518,-27.94
16530,-46.56
16542,-58.87
16554,-61.62
16566,-54.75
16578,-41.31
16590,-25.88
16602,-12.36
16614,-2.37
16626,4.93
16638,11.62
16650,19.23
16662,27.61
16674,34.86
16685,38.56
16696,37.09
16708,30.59
16720,20.74
16732,9.85
16744,-0.21
16756,-8.65
16768,-15.63
16780,-21.72
16792,-27.35
