second,BVP
2102,-147.37
2114,-166.68
2126,-189.19
2138,-208.95
2150,-218.6
2162,-212.16
2174,-187.58
2186,-148.23
2198,-102.07
2210,-59.24
2222,-28.11
2234,-12.32
2245,-10.85
2256,-18.03
2268,-26.5
2280,-29.91
2292,-24.6
2304,-10.01
2316,11.51
2328,35.99
2340,58.92
2352,75.56
2364,82.76
2376,79.25
2388,65.62
2400,44.14
2412,18.33
2424,-7.83
2435,-30.45
2446,-46.32
2458,-53.99
2470,-53.5
2482,-46.51
2494,-35.83
2506,-24.58
2518,-15.29
2530,-9.24
2542,-6.31
2554,-5.31
2566,-5.01
2578,-4.6
2590,-4.13
2602,-4.41
2614,-6.48
2625,-11.05
2636,-18.21
2648,-27.38
2660,-37.51
2672,-47.48
2684,-56.22
2696,-62.97
2708,-67.24
2720,-68.71
2732,-67.06
2744,-61.81
2756,-52.45
2768,-38.66
2780,-20.72
2792,0.29
2804,22.57
2815,44.07
2826,62.95
2838,77.96
2850,88.61
2862,94.93
2874,97.34
2886,96.29
2898,92.34
2910,86.07
2922,78.2
2934,69.57
2946,61.06
2958,53.43
2970,47.22
2982,42.66
2994,39.76
3005,38.49
3016,38.77
3028,40.57
3040,43.71
3052,47.79
3064,52.08
3076,55.69
3088,57.86
3100,58.18
3112,56.77
3124,54.14
3136,50.9
3148,47.47
3160,43.79
3172,39.45
3184,33.93
3195,26.94
3206,18.68
3218,9.79
3230,1.12
3242,-6.62
3254,-13.12
3266,-18.56
3278,-23.44
3290,-28.43
3302,-34.05
3314,-40.44
3326,-47.18
3338,-53.23
3350,-57.13
3362,-57.32
3374,-52.63
3385,-42.71
3396,-28.28
3408,-10.98
3420,7.01
3432,23.55
3444,37.1
3456,46.87
3468,52.79
3480,55.19
3492,54.47
3504,50.95
3516,44.85
3528,36.55
3540,26.65
3552,16.08
3564,5.89
3575,-3.06
3586,-10.28
3598,-15.86
3610,-20.21
3622,-23.82
3634,-26.91
3646,-29.4
3658,-31.0
3670,-31.49
3682,-30.9
3694,-29.47
3706,-27.44
3718,-24.79
3730,-21.3
3742,-16.67
3754,-10.94
3765,-4.61
3776,1.51
3788,6.65
3800,10.33
3812,12.44
3824,12.79
3836,10.83
3848,5.57
3860,-3.87
3872,-17.46
3884,-33.61
3896,-49.31
3908,-60.96
3920,-65.63
3932,-62.16
3944,-51.41
3955,-35.79
3966,-18.3
3978,-1.55
3990,12.82
4002,24.31
4014,33.33
4026,40.89
4038,48.08
4050,55.62
4062,63.55
4074,71.11
4086,76.99
4098,79.78
4110,78.56
4122,73.21
4134,64.52
4145,53.83
4156,42.67
4168,32.41
4180,23.92
4192,17.67
