second,BVP
12600,-149.76
12612,-132.73
12624,-116.61
12636,-101.79
12648,-87.85
12660,-73.51
12672,-57.44
12684,-39.0
12695,-18.35
12706,4.31
12718,29.3
12730,57.63
12742,89.6
12754,123.02
12766,152.58
12778,171.05
12790,172.52
12802,155.46
12814,123.79
12826,85.39
12838,49.47
12850,24.11
12862,15.04
12874,25.16
12885,54.22
12896,98.14
12908,148.46
12920,193.56
12932,221.59
12944,224.27
12956,199.4
12968,151.01
12980,87.51
12992,18.88
13004,-45.2
13016,-96.64
13028,-129.72
13040,-142.08
13052,-135.73
13064,-117.19
13075,-95.53
13086,-78.75
13098,-70.98
13110,-71.0
13122,-74.11
13134,-75.46
13146,-72.75
13158,-67.11
13170,-61.64
13182,-58.84
13194,-58.9
13206,-59.75
13218,-58.65
13230,-54.29
13242,-47.82
13254,-42.53
13265,-42.1
13276,-48.49
13288,-60.81
13300,-75.6
13312,-88.62
13324,-96.8
13336,-99.46
13348,-98.18
13360,-95.54
13372,-93.66
13384,-93.18
13396,-93.53
13408,-93.62
13420,-92.89
13432,-91.7
13444,-91.05
13455,-92.01
13466,-94.92
13478,-99.29
13490,-103.96
13502,-107.63
13514,-109.32
13526,-108.57
13538,-105.31
13550,-99.71
13562,-91.88
13574,-81.87
13586,-69.89
13598,-56.43
13610,-42.35
13622,-28.74
13634,-16.68
13645,-6.87
13656,0.45
13668,5.34
13680,7.92
13692,8.1
13704,5.6
13716,0.04
13728,-8.72
13740,-20.38
13752,-33.99
13764,-48.14
13776,-61.1
13788,-71.31
13800,-77.77
13812,-80.46
13824,-80.32
13835,-78.87
13846,-77.45
13858,-76.49
13870,-75.35
13882,-72.77
13894,-67.72
13906,-59.96
13918,-50.03
13930,-38.55
13942,-25.52
13954,-10.13
13966,8.7
13978,31.27
13990,56.55
14002,82.33
14014,106.22
14025,126.81
14036,144.11
14048,159.11
14060,172.7
14072,184.76
14084,194.05
14096,198.81
14108,197.79
14120,190.95
14132,179.56
14144,165.55
14156,150.89
14168,136.98
14180,124.53
14192,113.74
14204,104.4
14215,96.0
14226,87.79
14238,78.93
14250,68.85
14262,57.54
14274,45.72
14286,34.61
14298,25.39
14310,18.69
14322,14.48
14334,12.31
14346,11.76
14358,12.77
14370,15.55
14382,20.06
14394,25.68
14405,31.15
14416,35.19
14428,37.12
14440,37.41
14452,37.37
14464,38.47
14476,41.43
14488,45.91
14500,50.84
14512,55.19
14524,58.55
14536,61.28
14548,64.0
14560,67.07
14572,70.35
14584,73.37
14595,75.87
14606,78.08
14618,80.61
14630,84.19
14642,89.07
14654,94.93
14666,101.02
14678,106.73
14690,111.84
